Year,Month,Day,Quarter,Transect,Station,Depth.m,Lon.E,Lat.N,Type,Temp.C,Sal.ppt,DO.mg.per.l,PH,Chl.a.mg.per.m3,NH3.N.mg.per.l,NO3.N.mg.per.l,NO2.N.mg.per.l,PO4.3.P.mg.per.l,SiO2.Si.mg.l,BOD.mg.per.l,S.S.mg.per.l,Transparensy,Fish.egg.Abun,Fish.larvae.Abun,Crab.larvae.Abun,Shrimp.larvae.Abun,Phytoplankton.Den,Zooplankton.Abun
1994,4,21,secondly,6,6_near,10,120.1111667,23.66297222,Nearshore,26.3,34.45,7.2,8.13,0.59,NA,0.006,0.001,0.028,0.057,1,14.9,NA,6349,259,1684,4017,9544,248265
1994,4,21,secondly,6,6_off,20,120.0914444,23.67297222,Offshore,25.9,34.46,7.22,8.14,0.62,NA,0.005,0.001,0.063,0.078,1.37,14.31,NA,4578,2861,4006,2289,12366,755943
1994,4,21,secondly,7,7_near,10,120.1048,23.573,Nearshore,26,34.51,6.84,8.5,0.56,NA,0.007,0.001,0.025,0.092,0.67,12.29,NA,3957,989,8903,3957,3982,696396
1994,4,21,secondly,7,7_off,20,120.0738,23.5896,Offshore,26.1,34.31,7.36,8.19,0.54,NA,0.011,0.001,0.085,0.177,1.43,14.05,NA,0,1400,1400,1400,5252,754688
1994,4,21,secondly,8,8_near,10,120.0914,23.5054,Nearshore,26.3,34.35,7.21,8.14,0.53,NA,0.009,0.001,0.006,0.078,0.58,20.25,NA,1796,3593,5389,599,7544,320968
1994,4,21,secondly,8,8_off,20,120.0414,23.5342,Offshore,26.4,34.32,7.22,8.14,0.57,NA,0.015,0.001,0.034,0.12,0.12,10.21,NA,329,0,0,329,4605,227952
1994,6,15,secondly,2,2_near,10,120.228296,23.851427,Nearshore,28.5,NA,6.72,8.17,0.51,NA,0.005,0.001,0.014,0.028,1.54,1.32,1.2,0,0,28101,179847,8785,3793637
1994,6,15,secondly,2,2_off,20,120.2116,23.877288,Offshore,28.4,NA,6.67,8.24,0.48,NA,0.004,0.001,0.011,0.028,1.4,9.06,2.3,0,0,29288,62760,2130,746144
1994,6,15,secondly,3,3_near,10,120.1811944,23.81602778,Nearshore,27.8,NA,7.37,8.18,0.59,NA,0.014,0.003,0.018,0.035,2.01,5.92,1.5,0,4349,26093,339204,3685,2826703
1994,6,15,secondly,3,3_off,20,120.1784167,23.81713889,Offshore,27.9,NA,6.67,8.15,0.43,NA,0.028,0.006,0.021,0.05,0.93,11.38,1.6,11698,0,11698,187166,2090,4936499
1994,6,15,secondly,4,4_near,10,120.16425,23.75797222,Nearshore,28.2,NA,6.58,8.16,0.56,NA,0.018,0.003,0.013,0.035,0.84,6.06,1.7,0,0,8812,61683,3215,2775724
1994,6,15,secondly,4,4_off,20,120.1314722,23.77852778,Offshore,28.4,NA,7.72,8.2,0.65,NA,0.006,0.001,0.009,0.035,2.29,6.98,1.3,7812,0,2604,44268,38665,549447
1994,6,15,secondly,5,5_near,10,120.1361667,23.71297222,Nearshore,28,NA,7.77,8.21,0.48,NA,0.01,0.001,0.007,0.035,2.43,4.48,2.5,17753,2536,2536,180068,20190,1105774
1994,6,15,secondly,5,5_off,20,120.0972778,23.72547222,Offshore,28.4,NA,7.05,8.15,0.42,NA,0.051,0.001,0.01,0.05,1.7,2.16,1.3,0,0,10731,107308,1580,2768557
1994,6,15,secondly,6,6_near,10,120.1111667,23.66297222,Nearshore,28.2,NA,6.86,8.15,0.39,NA,0.007,0.001,0.008,0.028,1.54,4.62,1.8,762,0,15243,70116,1162,871881
1994,6,15,secondly,6,6_off,20,120.0914444,23.67297222,Offshore,28,NA,6.58,8.16,0.41,NA,0.012,0.001,0.007,0.028,1.14,5.12,2,5281,10562,73933,200675,1470,1388884
1994,6,15,secondly,7,7_near,10,120.1048,23.573,Nearshore,28,NA,6.02,8.22,0.4,NA,0.008,0.001,0.007,0.028,0.45,16.14,2,0,0,19921,91305,8590,1226809
1994,6,15,secondly,7,7_off,20,120.0738,23.5896,Offshore,28,NA,6.65,8.17,0.44,NA,0.006,0.001,0.01,0.028,1.17,6.82,2.6,0,759,3035,19726,7245,632743
1994,6,15,secondly,8,8_near,10,120.0914,23.5054,Nearshore,27.9,NA,6.86,8.16,0.53,NA,0.01,0.001,0.011,0.035,1.84,10.14,2.2,0,0,0,12420,18255,414516
1994,6,15,secondly,8,8_off,20,120.0414,23.5342,Offshore,28.1,NA,7.24,8.19,0.56,NA,0.008,0.001,0.006,0.035,2.06,7.9,3.5,0,0,2297,42492,10420,621295
1994,8,15,thirdly,2,2_near,10,120.228296,23.851427,Nearshore,31,21.63,5.98,8.11,NA,NA,0.201,0.019,0.056,0.596,1.64,43.98,0.3,20719,216,22661,44028,1210,223591
1994,8,15,thirdly,2,2_off,20,120.2116,23.877288,Offshore,30,33.32,6.04,8.15,NA,NA,0.043,0.014,0.011,1.17,1.43,16.52,1,4844,0,1615,2202,3210,36478
1994,8,15,thirdly,3,3_near,10,120.1811944,23.81602778,Nearshore,30.1,31.79,6.44,8.11,NA,NA,0.128,0.012,0.082,0.201,2.13,6.84,1.4,8808,546,3897,14966,3870,81686
1994,8,15,thirdly,3,3_off,20,120.1784167,23.81713889,Offshore,28.7,33.16,6.42,8.22,NA,NA,0.106,0.007,0.037,0.325,1.08,9.16,1.3,36297,214,2144,3715,2515,59232
1994,8,15,thirdly,4,4_near,10,120.16425,23.75797222,Nearshore,29.7,33.22,6.57,8.17,NA,NA,0.068,0.003,0.034,0.094,0.98,3.94,1.4,5889,178,1785,1606,1850,11600
1994,8,15,thirdly,4,4_off,20,120.1314722,23.77852778,Offshore,30.8,29.6,5.88,8.28,NA,NA,0.343,0.075,0.059,0.444,2.43,3.4,1,108,323,2802,4096,5497,62302
1994,8,15,thirdly,5,5_near,10,120.1361667,23.71297222,Nearshore,30.7,33.36,6.74,8.15,NA,NA,0.049,0.01,0.014,0.097,2.54,6.86,1.1,1142,326,163,3263,13515,90725
1994,8,15,thirdly,5,5_off,20,120.0972778,23.72547222,Offshore,29.9,31.69,5.53,8.12,NA,NA,0.043,0.026,0.026,0.091,1.75,59.18,0.4,3927,0,365,3836,785,123834
1994,8,15,thirdly,6,6_near,10,120.1111667,23.66297222,Nearshore,30.1,30.15,6.7,8.17,NA,NA,0.144,0.014,0.036,0.092,1.54,3.6,2.2,1729,0,0,2882,585,67283
1994,8,15,thirdly,6,6_off,20,120.0914444,23.67297222,Offshore,29.7,33.45,6.63,8.18,NA,NA,0.034,0.014,0.062,0.043,1.17,2.8,3.2,0,1409,2466,5284,1915,341679
1994,8,15,thirdly,7,7_near,10,120.1048,23.573,Nearshore,29.3,33.48,6.56,8.16,NA,NA,0.012,0.006,0.026,0.109,0.5,0.4,3,5567,262,655,7205,1560,74206
1994,8,15,thirdly,7,7_off,20,120.0738,23.5896,Offshore,30.4,33.46,6.6,8.23,NA,NA,0.012,0.004,0.05,0.058,1.31,3.06,2.5,19994,2806,1754,86641,1130,294649
1994,8,15,thirdly,8,8_near,10,120.0914,23.5054,Nearshore,30.3,33.44,6.56,8.26,NA,NA,0.017,0.004,0.018,0.055,1.91,2.32,3,17058,1190,0,12826,2718,135273
1994,8,15,thirdly,8,8_off,20,120.0414,23.5342,Offshore,31,33.26,6.79,8.21,NA,NA,0.011,0.011,0.059,0.094,2.19,3.28,2.5,10440,157,315,1207,7400,21299
1994,11,11,fourthly,2,2_near,10,120.228296,23.851427,Nearshore,23.3,33.82,7.42,8.18,NA,NA,0.026,0.008,0.026,0.153,1.96,18.08,0.8,0,1156,365,426,1410,7363
1994,11,11,fourthly,2,2_off,20,120.2116,23.877288,Offshore,23.2,33.62,7.2,8.18,NA,NA,0.039,0.003,0.042,0.134,1.91,17.36,0.6,772,0,483,1303,1415,21913
1994,11,11,fourthly,3,3_near,10,120.1811944,23.81602778,Nearshore,22.6,33.29,6.93,8.14,NA,NA,0.03,0.043,0.211,0.448,2.63,23.32,0.6,221,0,959,2066,1720,11366
1994,11,11,fourthly,3,3_off,20,120.1784167,23.81713889,Offshore,23.2,33.14,7.33,8.18,NA,NA,0.002,0.001,0.084,0.12,1.64,40.16,0.6,4674,178,2663,5562,695,31181
1994,11,11,fourthly,4,4_near,10,120.16425,23.75797222,Nearshore,23.4,33.42,7.59,8.14,NA,NA,0.108,0.015,0.013,0.194,1.7,35.88,0.6,4440,0,1742,1293,1780,25406
1994,11,11,fourthly,4,4_off,20,120.1314722,23.77852778,Offshore,23,33.55,7.13,8.25,NA,NA,0.1,0.017,0.036,0.19,1.85,24.48,1.1,2762,44,773,685,1080,2984
1994,11,11,fourthly,5,5_near,10,120.1361667,23.71297222,Nearshore,23.6,33.47,7.34,8.23,NA,NA,0.049,0.008,0.14,0.108,1.99,20.12,1.3,6351,56,1293,4553,710,47326
1994,11,11,fourthly,5,5_off,20,120.0972778,23.72547222,Offshore,23.5,33.67,7.27,8.15,NA,NA,0.074,0.007,0.024,0.146,2.04,23.18,1.2,459,48,48,2342,315,8162
1994,11,11,fourthly,6,6_near,10,120.1111667,23.66297222,Nearshore,23.6,33.75,7.18,8.15,NA,NA,0.081,0.007,0.009,0.12,1.34,30.22,1.4,496,40,59,2181,470,11243
1994,11,11,fourthly,6,6_off,20,120.0914444,23.67297222,Offshore,23.6,33.69,7.19,8.17,NA,NA,0.008,0.001,0.004,0.086,1.36,4.46,1.6,405,76,708,5815,200,25534
1994,11,11,fourthly,7,7_near,10,120.1048,23.573,Nearshore,23.7,33.81,7.07,8.12,NA,NA,0.008,0.004,0.017,0.09,1.38,30.66,0.9,173,74,419,1233,380,30131
1994,11,11,fourthly,7,7_off,20,120.0738,23.5896,Offshore,23.6,33.68,6.91,8.14,NA,NA,0.027,0.005,0.006,0.082,1.81,47.06,1.6,151,0,113,452,630,30854
1994,11,11,fourthly,8,8_near,10,120.0914,23.5054,Nearshore,23.4,33.47,7.16,8.2,NA,NA,0.039,0.004,0.049,0.093,1.43,24.04,1.5,747,100,797,4032,400,61780
1994,11,11,fourthly,8,8_off,20,120.0414,23.5342,Offshore,22.6,32.79,7.26,8.23,NA,NA,0.08,0.007,0.005,0.127,1.12,10.36,1.4,0,335,5701,1006,605,495296
1995,3,25,first,2,2_near,10,120.228296,23.851427,Nearshore,20.1,34.14,7.47,8.17,NA,NA,0.074,0.018,0.041,0.092,1.45,6.47,1.4,6897,8276,4138,5517,515,1536612
1995,3,25,first,2,2_off,20,120.2116,23.877288,Offshore,20.1,33.9,7.57,8.17,NA,NA,0.086,0.02,0.019,0.118,1.71,21.55,1.6,0,3633,2422,4844,455,1383072
1995,3,25,first,3,3_near,10,120.1811944,23.81602778,Nearshore,20.5,33.9,6.99,8.08,NA,NA,0.143,0.032,0.082,0.268,1.63,13.81,2,0,4657,31826,3105,265,1030857
1995,3,25,first,3,3_off,20,120.1784167,23.81713889,Offshore,20.2,33.48,7.59,8.1,NA,NA,0.137,0.025,0.041,0.18,1.83,17.56,1.8,869,1739,125173,12170,295,979648
1995,3,25,first,4,4_near,10,120.16425,23.75797222,Nearshore,20.6,33.71,7.29,8.14,NA,NA,0.117,0.028,0.025,0.158,1.4,18.1,1.7,5504,847,63935,9738,450,345501
1995,3,25,first,4,4_off,20,120.1314722,23.77852778,Offshore,20.6,33.93,7.28,8.2,NA,NA,0.101,0.02,0.034,0.158,1.85,9.24,1.3,6121,835,8625,16415,1260,360284
1995,3,25,first,5,5_near,10,120.1361667,23.71297222,Nearshore,20.6,34.41,7.32,8.19,NA,NA,0.063,0.018,0.012,0.081,1.34,5.11,1.6,3976,442,3534,14578,515,426290
1995,3,25,first,5,5_off,20,120.0972778,23.72547222,Offshore,20.5,34.14,7.45,8.18,NA,NA,0.073,0.018,0.032,0.092,1.54,4.62,1.6,1129,1773,3708,2580,555,263273
1995,3,25,first,6,6_near,10,120.1111667,23.66297222,Nearshore,20.3,34.2,7.4,8.2,NA,NA,0.068,0.018,0.049,0.154,1.9,3.46,1.8,193,1348,1348,385,200,190576
1995,3,25,first,6,6_off,20,120.0914444,23.67297222,Offshore,21.3,34.53,7.23,8.24,NA,NA,0.032,0.014,0.011,0.059,1.45,8.15,2.2,4060,812,2436,20705,275,379184
1995,3,25,first,7,7_near,10,120.1048,23.573,Nearshore,21.2,34.54,7.3,8.23,NA,NA,0.032,0.012,0.009,0.066,1.9,5.28,1.9,1599,533,21325,10663,455,1035339
1995,3,25,first,7,7_off,20,120.0738,23.5896,Offshore,20.6,34.41,7.35,8.23,NA,NA,0.051,0.015,0.011,0.07,1.74,7.13,1.9,5628,970,10479,7374,435,203766
1995,3,25,first,8,8_near,10,120.0914,23.5054,Nearshore,20.3,34.33,7.08,8.21,NA,NA,0.059,0.015,0.016,0.081,1.34,8.2,1.6,5277,480,7196,14392,460,544506
1995,3,25,first,8,8_off,20,120.0414,23.5342,Offshore,20.4,34.17,7.36,8.22,NA,NA,0.073,0.016,0.012,0.103,1.4,8.84,1.8,9726,1480,7823,17972,615,387141
1995,5,25,secondly,2,2_near,10,120.228296,23.851427,Nearshore,27.5,4.24,7.04,8.16,NA,NA,0.736,0.024,0.017,1.617,2.61,65.65,0.4,1184,197,15587,23085,6975,174028
1995,5,25,secondly,2,2_off,20,120.2116,23.877288,Offshore,26.9,33.97,6.68,8.21,NA,NA,0.018,0.004,0.011,0.046,1.74,8.15,1.2,7456,0,0,25349,9980,642677
1995,5,25,secondly,3,3_near,10,120.1811944,23.81602778,Nearshore,27,34.07,7.24,8.19,NA,NA,0.014,0.003,0.02,0.022,2.66,2.85,1.4,11712,4931,3699,61643,3280,679308
1995,5,25,secondly,3,3_off,20,120.1784167,23.81713889,Offshore,27,34.38,6.61,8.19,NA,NA,0.018,0.001,0.074,0.014,2.48,2.4,2.4,37165,0,2104,81341,1420,870213
1995,5,25,secondly,4,4_near,10,120.16425,23.75797222,Nearshore,28.4,34.21,7.25,8.17,NA,NA,0.005,0.002,0.005,0.014,1.82,1.3,2.3,1295,118,1060,1413,3040,138704
1995,5,25,secondly,4,4_off,20,120.1314722,23.77852778,Offshore,28.7,33.99,6.29,8.14,NA,NA,0.018,0.006,0.05,0.035,1.14,6.25,1.8,2252,1126,2628,24024,1640,432437
1995,5,25,secondly,5,5_near,10,120.1361667,23.71297222,Nearshore,28,34.21,6.48,8.16,NA,NA,0.003,0.001,0.011,0.011,0.97,3.24,2.1,3006,1503,1503,94690,4800,678610
1995,5,25,secondly,5,5_off,20,120.0972778,23.72547222,Offshore,28.5,5.2,6.85,8.18,NA,NA,0.732,0.022,0.015,1.467,2.23,108.88,0.7,31,218,1399,5535,2480,23882
1995,5,25,secondly,6,6_near,10,120.1111667,23.66297222,Nearshore,28,33.38,6.59,8.27,NA,NA,0.02,0.003,0.004,0.081,1.47,3.63,1.8,642,214,0,1925,2240,227551
1995,5,25,secondly,6,6_off,20,120.0914444,23.67297222,Offshore,28,34.22,6.7,8.26,NA,NA,0.011,0.002,0.006,0.024,1.85,5.09,1.4,275,0,39,197,4080,46597
1995,5,25,secondly,7,7_near,10,120.1048,23.573,Nearshore,27.5,34.49,6.42,8.24,NA,NA,0.004,0.001,0.003,0.022,0.78,2.04,2.5,492,656,492,820,1530,230505
1995,5,25,secondly,7,7_off,20,120.0738,23.5896,Offshore,27.9,34.46,6.42,8.25,NA,NA,0.005,0.001,0.004,0.051,1.32,1.24,2.2,3627,0,202,403,2310,289189
1995,5,25,secondly,8,8_near,10,120.0914,23.5054,Nearshore,28.1,34.55,6.56,8.23,NA,NA,0.005,0.001,0.003,0.016,0.77,4.04,2.5,2344,426,1065,10865,8030,246498
1995,5,25,secondly,8,8_off,20,120.0414,23.5342,Offshore,27.5,34.34,6.71,8.22,NA,NA,0.003,0.001,0.003,0.011,1.71,4.1,3,9902,825,660,1485,7700,302333
1995,10,5,fourthly,2,2_near,10,120.228296,23.851427,Nearshore,28,17.98,6.26,8.1,0.2,NA,0.317,0.029,0.018,2.82,2.17,27.91,0.6,1790,488,16438,5534,2670,71692
1995,10,5,fourthly,2,2_off,20,120.2116,23.877288,Offshore,27.8,34.12,6.47,8.12,0.44,NA,0.061,0.047,0.008,0.327,1.29,18.88,1.1,7680,269,12800,4581,1260,162085
1995,10,5,fourthly,3,3_near,10,120.1811944,23.81602778,Nearshore,27.8,34.09,6.08,8.16,0.6,NA,0.077,0.055,0.019,0.433,2.08,12.24,1.3,16060,1168,9052,2628,2220,112709
1995,10,5,fourthly,3,3_off,20,120.1784167,23.81713889,Offshore,27.6,34.17,6.51,8.19,0.55,NA,0.058,0.045,0.015,0.296,0.28,22.58,0.9,19776,362,3912,1594,2100,75045
1995,10,5,fourthly,4,4_near,10,120.16425,23.75797222,Nearshore,27.5,33.36,6.43,8.14,0.53,NA,0.132,0.065,0.035,0.596,0.78,15.8,1.5,63163,0,2293,191,2460,55136
1995,10,5,fourthly,4,4_off,20,120.1314722,23.77852778,Offshore,28.5,29.73,7.32,8.18,1.1,NA,0.216,0.108,0.089,1.339,2.48,21.08,0.9,2165,1694,3953,3577,760,91961
1995,10,5,fourthly,5,5_near,10,120.1361667,23.71297222,Nearshore,28.2,34.21,7.14,8.19,0.52,NA,0.101,0.048,0.013,0.408,1.39,28.46,1.2,12676,568,1892,1892,2653,204331
1995,10,5,fourthly,5,5_off,20,120.0972778,23.72547222,Offshore,28.1,13.87,6.34,8.12,0.23,NA,0.384,0.025,0.018,3.295,1.89,30.49,0.7,149,64,1104,361,1940,10192
1995,10,5,fourthly,6,6_near,10,120.1111667,23.66297222,Nearshore,28.2,24.95,6.48,8.16,0.2,NA,0.242,0.037,0.021,1.914,1.57,25.44,1.1,7228,314,1257,314,1120,69772
1995,10,5,fourthly,6,6_off,20,120.0914444,23.67297222,Offshore,27.8,34.32,6.59,8.17,0.31,NA,0.051,0.031,0.011,0.227,0.94,17.72,1.3,1240,56,677,169,750,58183
1995,10,5,fourthly,7,7_near,10,120.1048,23.573,Nearshore,27.5,34.43,6.63,8.21,0.21,NA,0.036,0.021,0.011,0.19,0.89,19.04,1.8,1391,174,696,783,645,104184
1995,10,5,fourthly,7,7_off,20,120.0738,23.5896,Offshore,28,34.55,6.5,8.19,0.36,NA,0.037,0.018,0.009,0.184,1.34,19.89,2,1757,319,479,798,1660,188429
1995,10,5,fourthly,8,8_near,10,120.0914,23.5054,Nearshore,28,34.38,6.79,8.2,0.66,NA,0.055,0.025,0.01,0.221,1.42,19.5,2.1,1965,255,655,582,250,53925
1995,10,5,fourthly,8,8_off,20,120.0414,23.5342,Offshore,28.2,34.43,6.83,8.23,0.28,NA,0.035,0.023,0.011,0.177,1.59,8.94,2,3469,74,738,590,210,84056
1996,1,5,first,2,2_near,10,120.228296,23.851427,Nearshore,20.8,34.18,8.15,8.17,1.25,NA,0.064,0.013,0.019,0.125,2.25,43.8,0.7,4042,898,6737,8533,185,576214
1996,1,5,first,2,2_off,20,120.2116,23.877288,Offshore,19.3,33.62,8.14,8.17,1.25,NA,0.059,0.012,0.014,0.233,2.54,32.4,0.7,5380,2017,8070,16812,545,706766
1996,1,5,first,3,3_near,10,120.1811944,23.81602778,Nearshore,20.5,33.97,7.84,8.11,0.53,NA,0.038,0.012,0.014,0.165,1.8,66.2,0.6,20920,697,6973,7671,690,748934
1996,1,5,first,3,3_off,20,120.1784167,23.81713889,Offshore,19.9,34.27,7.72,8.18,0.69,NA,0.029,0.012,0.012,0.095,2.95,38.8,0.9,6677,607,4249,5463,455,637967
1996,1,5,first,4,4_near,10,120.16425,23.75797222,Nearshore,19.6,34.29,7.72,8.12,0.41,NA,0.038,0.014,0.014,0.11,2.4,40.4,0.6,1128,1693,752,1316,880,203298
1996,1,5,first,4,4_off,20,120.1314722,23.77852778,Offshore,20.9,34.23,7.65,8.17,0.75,NA,0.032,0.01,0.01,0.119,1.93,25.8,0.7,3943,657,2629,2300,490,302989
1996,1,5,first,5,5_near,10,120.1361667,23.71297222,Nearshore,20.9,34.27,7.64,8.17,0.53,NA,0.031,0.01,0.009,0.132,1.39,45.2,0.8,6185,1374,2749,8246,614,739394
